field,missing_rate
gdp_per_capita_usd_year,0.152
gdp_usd_year,0.152
gdp_per_capita_usd,0.152
gdp_usd,0.152
population_y,0.14
life_expectancy,0.14
life_expectancy_year,0.14
population_year,0.14
capital,0.016
iso3,0.0
